x,y,z,pos
207,-14,1855,
206,4,1852,
222,0,1850,
214,-8,1865,
204,-4,1847,
213,8,1854,
215,7,1857,
206,7,1850,
216,9,1856,
219,6,1862,
207,1,1849,
199,9,1859,
209,8,1861,
217,10,1852,
217,16,1843,
216,2,1854,
221,6,1851,
206,12,1866,
209,13,1854,
219,1,1866,
211,12,1859,
206,3,1863,
206,2,1850,
205,-4,1838,
212,-9,1862,
213,-10,1864,
198,-11,1841,
209,-10,1847,
218,-1,1857,
206,-11,1851,
206,-3,1852,
215,-23,1865,
206,-19,1852,
199,-3,1837,
208,-10,1857,
205,-18,1844,
217,-16,1856,
208,-24,1875,
216,-12,1865,
207,-27,1862,
207,-22,1850,
203,-18,1851,
202,-33,1865,
205,-18,1867,
196,-35,1866,
208,-31,1865,
206,-21,1867,
208,-31,1859,
209,-21,1860,
207,-33,1861,
201,-21,1844,
201,-23,1845,
210,-22,1846,
207,-32,1848,
216,-31,1859,
207,-12,1851,
201,-34,1861,
197,-43,1871,
208,-27,1855,
219,-27,1841,
199,-37,1862,
212,-29,1856,
208,-27,1850,
215,-28,1856,
214,-19,1852,
201,-16,1845,
211,-19,1864,
214,-23,1856,
209,-13,1850,
202,-6,1863,
210,-22,1860,
209,-11,1852,
212,-10,1868,
215,4,1871,
210,-13,1850,
208,-5,1855,
210,-13,1863,
219,-5,1856,
208,-1,1857,
223,1,1856,
222,9,1858,
210,-4,1858,
204,-2,1866,
213,-8,1867,
203,2,1850,
206,5,1873,
206,6,1861,
210,15,1870,
206,-4,1862,
216,-4,1845,
218,6,1873,
219,9,1859,
203,2,1859,
207,1,1861,
207,8,1847,
210,3,1848,
219,1,1861,
206,-8,1849,
211,-11,1860,
204,2,1862,
220,-8,1844,
207,-7,1857,
218,-3,1867,
212,-17,1861,
209,-3,1867,
209,-10,1856,
206,-7,1850,
206,-11,1856,
217,-3,1862,
202,-21,1879,
212,-14,1855,
220,-14,1855,
209,-13,1846,
216,-26,1855,
202,-40,1871,
213,-28,1864,
206,-17,1852,
205,-21,1844,
220,-16,1859,
200,-17,1873,
197,-17,1869,
202,-25,1850,
217,-34,1854,
218,-24,1845,
218,-18,1853,
211,-31,1873,
201,-22,1865,
209,-27,1842,
203,-19,1864,
207,-30,1858,
204,-15,1855,
208,-29,1839,
212,-36,1839,
200,-33,1847,
210,-32,1864,
204,-30,1865,
214,-17,1848,
204,-14,1855,
216,-23,1845,
213,-19,1849,
206,-19,1856,
220,-24,1867,
210,-17,1855,
201,-17,1848,
208,-6,1874,
213,-21,1866,
205,-8,1853,
214,-16,1851,
199,-15,1861,
215,-10,1855,
204,-6,1866,
213,0,1862,
204,-16,1857,
216,-15,1872,
212,-2,1849,
212,1,1856,
209,1,1853,
219,-4,1863,
219,-8,1874,
203,-8,1854,
212,-7,1847,
206,-1,1874,
208,-13,1862,
214,-11,1855,
212,-6,1856,
218,8,1852,
208,-2,1839,
218,3,1860,
207,-4,1857,
207,-7,1853,
220,-12,1853,
216,7,1863,
212,-3,1862,
212,-5,1848,
212,-9,1863,
207,-6,1862,
216,-2,1851,
208,-8,1859,
215,-2,1857,
205,-8,1845,
217,-17,1854,
209,-19,1840,
211,-8,1860,
204,-19,1860,
214,-15,1855,
205,-8,1849,
201,-20,1869,
208,-20,1850,
209,-15,1850,
213,-32,1850,
206,-16,1833,
202,-29,1851,
207,-26,1868,
207,-23,1863,
204,-31,1863,
196,-24,1857,
204,-28,1858,
206,-29,1854,
208,-10,1845,
218,-29,1872,
212,-16,1859,
206,-28,1856,
216,-32,1855,
216,-22,1846,
211,-24,1840,
212,-22,1865,
208,-20,1854,
210,-30,1851,
204,-17,1877,
216,-22,1861,
214,-15,1851,
213,-15,1851,
217,-17,1861,
200,-22,1853,
208,-20,1861,
212,-8,1848,
219,-4,1864,
208,-11,1868,
206,-14,1869,
203,-8,1867,
206,-2,1857,
200,-6,1847,
206,-9,1857,
210,-5,1859,
208,-2,1858,
204,-17,1873,
217,-11,1858,
193,-3,1852,
209,-5,1848,
200,-8,1857,
203,-6,1856,
198,-8,1851,
209,-3,1868,
215,-2,1844,
206,1,1853,
211,-3,1863,
207,-9,1857,
207,-5,1857,
218,-18,1846,
208,-12,1862,
209,5,1864,
211,-3,1873,
205,1,1863,
199,1,1863,
215,8,1850,
199,-20,1846,
215,-12,1851,
200,-21,1862,
198,-1,1868,
199,-8,1853,
212,7,1864,
213,-11,1866,
220,-9,1850,
209,-13,1856,
218,-11,1865,
213,-9,1852,
200,-8,1854,
195,-16,1860,
198,-13,1853,
207,-15,1879,
205,1,1851,
213,-22,1865,
204,-19,1866,
197,-9,1859,
199,-19,1855,
203,-15,1857,
199,-5,1836,
199,-6,1861,
204,-27,1848,
207,-13,1874,
203,-19,1864,
202,-27,1853,
197,-17,1852,
212,-15,1854,
200,-25,1869,
219,-10,1862,
216,-22,1859,
203,-16,1834,
203,-12,1839,
207,-12,1849,
198,-16,1854,
215,-8,1858,
206,-21,1853,
212,-11,1849,
213,-2,1853,
215,-12,1860,
197,-8,1849,
206,-17,1870,
211,-6,1841,
208,-9,1849,
201,-11,1863,
205,-14,1858,
193,-5,1864,
207,-3,1855,
212,-9,1859,
212,-6,1841,
212,-14,1848,
208,-14,1862,
197,-5,1867,
209,-22,1867,
192,-12,1864,
205,5,1857,
217,-12,1857,
203,-7,1849,
201,-7,1853,
215,4,1847,
207,10,1841,
203,0,1855,
208,-11,1854,
221,-28,1844,
206,2,1853,
197,-4,1863,
208,-4,1859,
209,-7,1853,
203,-4,1845,
199,-6,1850,
206,-2,1862,
203,-7,1854,
206,-6,1870,
204,-6,1843,
214,-13,1865,
196,-11,1859,
203,-7,1850,
200,-6,1849,
212,-8,1863,
194,-6,1842,
208,-8,1852,
213,-6,1858,
208,-13,1868,
206,-5,1851,
206,-13,1859,
194,-11,1855,
189,-15,1841,
191,-12,1858,
207,-8,1859,
213,-21,1855,
